klingon	english
bach	shoot (v)
bach	shot (n)
baH	fire (torpedo, rocket, missile) (v)
baHwI’	gunner (n)
bang	love, one who is loved (n)
baS	metal (n)
batlh	honor (n)
batlh	honored, with honor (adv)
bav	orbit (v)
ba’	sit (v)
bech	suffer (v)
begh	deflectors (n)
beH	rifle (n)
bej	watch (v)
bel	be pleased (v)
bel	pleasure (n)
belHa’	be displeased (v)
ben	years ago (n)
bep	agony (n)
bep	complain, object, gripe (v)
beq	crew, crewman (n)
bergh	be irritable (v)
be’	female, woman (n)
be’Hom	girl (n)
be’nal	wife (n)
be’nI’	sister (n)
bID	half (n)
bIghHa’	prison, jail (n)
bIH	they, them (incapable of language) (pro)
bIng	area below, area under (n)
bIp	hundred thousand (num)
bIQ	water (n)
bIQtIq	river (n)
bIQ’a’	ocean (n)
bIr	be cold (v)
bIt	be nervous, uneasy (v)
bIv	break (rules) (v)
bobcho’	module (n)
boch	shine, be shiny (v)
bogh	be born (v)
boH	be impatient (v)
boj	nag (v)
bong	accidentally, by accident (adv)
boq	alliance (n)
boQ	aide (n)
boQ	assist (v)
boQDu’	aide-de-camp (n)
bortaS	revenge (n)
boS	collect (v)
bot	prevent, block, prohibit (v)
botlh	center, middle (n)
bov	era (n)
bo’DIj	court (n)
buD	be lazy (v)
bup	quit (v)
buQ	threaten (v)
burgh	stomach (n)
buS	concentrate on, focus on, think only about (v)
butlh	dirt under fingernails (n)
buv	classification (n)
buv	classify (v)
bu’	sergeant (n)
cha	torpedoes (n)
chach	emergency (n)
chagh	drop (v)
chaH	they, them (capable of using language) (pro)
chal	sky(n)
chamwI’	technician (n)
chap	back (of hand) (n)
chaq	perhaps (adv)
chargh	conquer(v)
chav	achieve (v)
chav	achievement (n)
chaw’	allow, permit (v)
chay’	how? (ques)
cha’	show, display (picture) (v)
cha’	two (num)
cha’DIch	second (num)
cha’Hu’	day before yesterday (n)
cha’leS	day after tomorrow (n)
cha’logh	twice (adv)
cha’puj	dilithium (n)
cha’pujqut	dilithium crystal (n)
chech	be drunk, intoxicated (v)
chegh	return (v)
cheH	defect (v)
chel	add (v)
chen	build up, take form (v)
chep	prosper, be prosperous (v)
cher	establish, set up (v)
chergh	tolerate (v)
chetvI’	torpedo tube (n)
chev	separate (v)
che’	rule, reign, run (v)
chIch	purposely, on purpose, intentionally (adv)
chID	admit (v)
chIj	navigate (v)
chIjwI’	navigator (n)
chIm	be empty, deserted, uninhabited (v)
chIp	cut, trim (hair) (v)
chIrgh	temple (structure) (n)
chIS	be white (v)
choH	alter, change (v)
choH	change (n)
chol	close in, get closer, come nearer (v)
choljaH	ponytail holder (n)
chom	bartender (n)
chong	be vertical (v)
chop	bite (v)
choq	preserve (v)
chor	belly (n)
chorgh	eight (num)
chorghDIch	eighth (num)
choS	desert (v)
choS	twilight (n)
chot	murder (v)
chovnatlh	specimen (n)
chuch	ice (n)
chun	be innocent (v)
chunDab	meteor (n)
chung	accelerate (v)
chup	recommend, suggest (v)
chuq	range, distance (n)
chuQun	nobility (n)
chuS	be noisy (v)
chut	law (n)
chuv	be left over (v)
chuvmey	leftovers (grammatical term) (n)
chuyDaH	thrusters (n)
chu’	be new (v)
chu’	engage, activate (a device) (v)
Dach	be absent (v)
DaH	now (adv)
Daj	be interesting (v)
Dal	be boring (v)
Dan	occupy (military term) (v)
Dap	nonsense (n)
Daq	eavesdrop (v)
DaQ	ponytail (n)
chun	be innocent (v)
chunDab	meteor (n)
chung	accelerate (v)
chup	recommend, suggest (v)
chuq	range, distance (n)
chuQun	nobility (n)
chuS	be noisy (v)
chut	law (n)
chuv	be left over (v)
chuvmey	leftovers (grammatical term) (n)
chuyDaH	thrusters (n)
chu’	be new (v)
chu’	engage, activate (a device) (v)
Dach	be absent (v)
DaH	now (adv)
Daj	be interesting (v)
Dal	be boring (v)
Dan	occupy (military term) (v)
Dap	nonsense (n)
Daq	eavesdrop (v)
DaQ	ponytail (n)
Dev	lead, guide (v)
De’	data, information (n)
De’wI’	computer (n)
DIb	privilege (n)
DIch	certainty (n)
DIl	pay for (v)
DIlyum	trillium (n)
DIng	spin (v)
DIp	noun (n)
DIr	skin (n)
DIS	cave (n)
DIS	confess (v)
DIS	year (Klingon) (n)
DIv	be guilty (v)
DIvI’	federation, organization (n)
DIvI’may’Duj	Federation battle cruiser (n)
Do	velocity (n)
Doch	be rude (v)
Doch	thing (n)
Dogh	be foolish, silly (v)
Doghjey	unconditional surrender (n)
DoH	back away from, back off, get away from (v)
Doj	be impressive (v)
Dol	entity (n)
